date,value
2022-01-01,856.3
2022-01-02,862.7
2022-01-03,849.2
2022-01-04,871.5
2022-01-05,883.9
2022-01-06,891.2
2022-01-07,878.4
2022-01-08,865.8
2022-01-09,859.3
2022-01-10,876.1
2022-01-11,889.5
2022-01-12,902.3
2022-01-13,915.7
2022-01-14,908.2
2022-01-15,895.6
2022-01-16,887.9
2022-01-17,874.3
2022-01-18,891.8
2022-01-19,905.4
2022-01-20,918.9
2022-01-21,932.6
2022-01-22,925.1
2022-01-23,912.5
2022-01-24,904.8
2022-01-25,891.2
2022-01-26,908.7
2022-01-27,922.3
2022-01-28,935.9
2022-01-29,949.6
2022-01-30,942.1
2022-01-31,929.5
2022-02-01,921.8
2022-02-02,908.2
2022-02-03,925.7
2022-02-04,939.3
2022-02-05,952.9
2022-02-06,966.6
2022-02-07,959.1
2022-02-08,946.5
2022-02-09,938.8
2022-02-10,925.2
2022-02-11,942.7
2022-02-12,956.3
2022-02-13,969.9
2022-02-14,983.6
2022-02-15,976.1
2022-02-16,963.5
2022-02-17,955.8
2022-02-18,942.2
2022-02-19,959.7
2022-02-20,973.3
2022-02-21,986.9
2022-02-22,1000.6
2022-02-23,993.1
2022-02-24,980.5
2022-02-25,972.8
2022-02-26,959.2
2022-02-27,976.7
2022-02-28,990.3
2022-03-01,1003.9
2022-03-02,1017.6
2022-03-03,1010.1
2022-03-04,997.5
2022-03-05,989.8
2022-03-06,976.2
2022-03-07,993.7
2022-03-08,1007.3
2022-03-09,1020.9
2022-03-10,1034.6
2022-03-11,1027.1
2022-03-12,1014.5
2022-03-13,1006.8
2022-03-14,993.2
2022-03-15,1010.7
2022-03-16,1024.3
2022-03-17,1037.9
2022-03-18,1051.6
2022-03-19,1044.1
2022-03-20,1031.5
2022-03-21,1023.8
2022-03-22,1010.2
2022-03-23,1027.7
2022-03-24,1041.3
2022-03-25,1054.9
2022-03-26,1068.6
2022-03-27,1061.1
2022-03-28,1048.5
2022-03-29,1040.8
2022-03-30,1027.2
2022-03-31,1044.7
