date,value
2022-01-01,4523
2022-01-02,4612
2022-01-03,4735
2022-01-04,4821
2022-01-05,4956
2022-01-06,5123
2022-01-07,5234
2022-01-08,5156
2022-01-09,5089
2022-01-10,5234
2022-01-11,5312
2022-01-12,5456
2022-01-13,5589
2022-01-14,5623
2022-01-15,5734
2022-01-16,5812
2022-01-17,5901
2022-01-18,5967
2022-01-19,6034
2022-01-20,6123
2022-01-21,6234
2022-01-22,6312
2022-01-23,6401
2022-01-24,6523
2022-01-25,6612
2022-01-26,6734
2022-01-27,6823
2022-01-28,6901
2022-01-29,6989
2022-01-30,7056
2022-01-31,7134
2022-02-01,7223
2022-02-02,7301
2022-02-03,7412
2022-02-04,7523
2022-02-05,7612
2022-02-06,7734
2022-02-07,7823
2022-02-08,7901
2022-02-09,7989
2022-02-10,8067
2022-02-11,8156
2022-02-12,8234
2022-02-13,8323
2022-02-14,8412
2022-02-15,8501
2022-02-16,8589
2022-02-17,8678
2022-02-18,8756
2022-02-19,8834
2022-02-20,8923
2022-02-21,9012
2022-02-22,9101
2022-02-23,9189
2022-02-24,9278
2022-02-25,9367
2022-02-26,9456
2022-02-27,9534
2022-02-28,9623
2022-03-01,9712
2022-03-02,9801
2022-03-03,9889
2022-03-04,9978
2022-03-05,10067
2022-03-06,10156
2022-03-07,10234
2022-03-08,10323
2022-03-09,10412
2022-03-10,10501
2022-03-11,10589
2022-03-12,10678
2022-03-13,10767
2022-03-14,10856
2022-03-15,10945
2022-03-16,11034
2022-03-17,11123
2022-03-18,11212
2022-03-19,11301
2022-03-20,11389
2022-03-21,11478
2022-03-22,11567
2022-03-23,11656
2022-03-24,11745
2022-03-25,11834
2022-03-26,11923
2022-03-27,12012
2022-03-28,12101
2022-03-29,12189
2022-03-30,12278
2022-03-31,12367
