date,value
2022-01-01,15234
2022-01-02,14567
2022-01-03,16789
2022-01-04,17234
2022-01-05,18456
2022-01-06,19234
2022-01-07,20123
2022-01-08,18967
2022-01-09,17456
2022-01-10,19234
2022-01-11,20567
2022-01-12,21789
2022-01-13,22456
2022-01-14,23234
2022-01-15,24123
2022-01-16,22967
2022-01-17,21456
2022-01-18,23234
2022-01-19,24567
2022-01-20,25789
2022-01-21,26456
2022-01-22,27234
2022-01-23,28123
2022-01-24,26967
2022-01-25,25456
2022-01-26,27234
2022-01-27,28567
2022-01-28,29789
2022-01-29,30456
2022-01-30,31234
2022-01-31,32123
2022-02-01,30967
2022-02-02,29456
2022-02-03,31234
2022-02-04,32567
2022-02-05,33789
2022-02-06,34456
2022-02-07,35234
2022-02-08,36123
2022-02-09,34967
2022-02-10,33456
2022-02-11,35234
2022-02-12,36567
2022-02-13,37789
2022-02-14,38456
2022-02-15,39234
2022-02-16,40123
2022-02-17,38967
2022-02-18,37456
2022-02-19,39234
2022-02-20,40567
2022-02-21,41789
2022-02-22,42456
2022-02-23,43234
2022-02-24,44123
2022-02-25,42967
2022-02-26,41456
2022-02-27,43234
2022-02-28,44567
2022-03-01,45789
2022-03-02,46456
2022-03-03,47234
2022-03-04,48123
2022-03-05,46967
2022-03-06,45456
2022-03-07,47234
2022-03-08,48567
2022-03-09,49789
2022-03-10,50456
2022-03-11,51234
2022-03-12,52123
2022-03-13,50967
2022-03-14,49456
2022-03-15,51234
2022-03-16,52567
2022-03-17,53789
2022-03-18,54456
2022-03-19,55234
2022-03-20,56123
2022-03-21,54967
2022-03-22,53456
2022-03-23,55234
2022-03-24,56567
2022-03-25,57789
2022-03-26,58456
2022-03-27,59234
2022-03-28,60123
2022-03-29,58967
2022-03-30,57456
2022-03-31,59234
